OBJECTID,ADDRNUM,PREFIX,STREETNAME,STREETTYPE,SUFFIX,ROUTE,SUBADDRESS,MUNICIPALITY,ZIP,FULL_ADDRESS,STATE,ALI_CITY,ALIAS1,ALIAS2,PLACENAME,GlobalID,CreationDate,Creator,EditDate,Editor,Phone,URL,longitude,latitude
"2","108",E,CORTLAND,ST,,"222",V GROTON,VILLAGE OF GROTON,"13073",108 E CORTLAND ST,NY,GROTON,,,GROTON FIRE STATION,{E2CE1BC5-9FF3-4524-B7F0-43DBB1EECE5F},2017/08/18,TompkinsGIS,2017/08/25,TompkinsGIS,607-898-3135,https://www.facebook.com/groups/Groton.NY.Fire.Dept/,-76.367165,42.590535
"3","1189",,AUBURN,RD,,"34",T LANSING,TOWN OF LANSING,"13092",1189 AUBURN RD,NY,LOCKE,,,LANSING FIRE STATION 4,{C31A4F9C-4B7C-4283-8964-0CAD3E268DE3},2017/08/18,TompkinsGIS,2017/08/25,TompkinsGIS,607-533-4203,,-76.496921,42.612447
"4","119",,OAKCREST,RD,,,V LANSING,VILLAGE OF LANSING,"14850",119 OAKCREST RD,NY,ITHACA,OAKCREST RD FIRE HALL,,LANSING FIRE STATION 5,{B43AE98E-8947-4784-8E1B-DFA0C99F6A7F},2017/08/18,TompkinsGIS,2017/08/25,TompkinsGIS,607-533-4203,,-76.492988,42.487630
"5","1235",,RIDGE,RD,,34B,T LANSING,TOWN OF LANSING,"14882",1235 RIDGE RD,NY,LANSING,,,LANSING FIRE STATION 3,{785154E7-9A89-4F6C-889C-3150C55959F8},2017/08/18,TompkinsGIS,2017/08/25,TompkinsGIS,607-533-4203,,-76.590223,42.587025
"6","1240",,TRUMANSBURG,RD,,"96",T ITHACA,TOWN OF ITHACA,"14850",1240 TRUMANSBURG RD,NY,ITHACA,WEST HILL STATION 6,WEST HILL FIRE STATION,IFD WEST HILL STATION 6,{7026A4B6-A956-49A6-92BF-DFD111FE5642},2017/08/18,TompkinsGIS,2017/08/25,TompkinsGIS,607-272-1234,https://www.facebook.com/ithacafire/,-76.535095,42.463463
"7","2",,STEVENS,RD,,"104",T GROTON,TOWN OF GROTON,"13102",2 STEVENS RD,NY,MCLEAN,,,MCLEAN FIRE DEPARTMENT,{7776685E-7419-49E0-97F9-745D89A78B5C},2017/08/18,TompkinsGIS,2017/08/25,TompkinsGIS,607-838-3700,https://www.facebook.com/McLEAN-FIRE-AND-RESCUE-242614371114/,-76.291734,42.552222
"8","21",,UNION,ST,,,V FREEVILLE,VILLAGE OF FREEVILLE,"13068",21 UNION ST,NY,FREEVILLE,,,FREEVILLE FIRE STATION,{182AB33E-0679-458F-BCDF-98D47FED2B75},2017/08/18,TompkinsGIS,2017/08/25,TompkinsGIS,607-844-9662,http://www.frontiernet.net/~wbstrong/home.html,-76.345627,42.512323
"9","2681",,SLATERVILLE,RD,,"79",T CAROLINE,TOWN OF CAROLINE,"14881",2681 SLATERVILLE RD,NY,SLATERVILLE SPRINGS,,,SLATERVILLE FIRE STATION,{15300113-B090-454C-B342-8DD5B3C5627D},2017/08/18,TompkinsGIS,2017/08/25,TompkinsGIS,607-539-6233,https://www.facebook.com/SlatervilleAmbulance/,-76.348996,42.393674
"10","309",,COLLEGE,AVE,,,C ITHACA,CITY OF ITHACA,"14850",309 COLLEGE AVE,NY,ITHACA,,,IFD COLLEGE STATION 9,{C2EFA6DE-2F13-490C-8B3B-F8BBB11FB4D0},2017/08/18,TompkinsGIS,2017/08/25,TompkinsGIS,607-272-1234,https://www.facebook.com/ithacafire/,-76.484863,42.440883
"11","40",,MILL,RD,,"115",T CAROLINE,TOWN OF CAROLINE,"13736",40 MILL RD,NY,BERKSHIRE,,,SPEEDSVILLE FIRE STATION,{BB691494-E4C5-4DEF-88CF-C978A08BDFC7},2017/08/18,TompkinsGIS,2017/08/25,TompkinsGIS,,https://www.facebook.com/SpeedsvilleFire/,-76.251412,42.306107
